question,answer
What is the most severe and specific syndrome caused by CTV?,Decline.
What are the common symptoms of decline caused by CTV?,"Leaves suddenly wilt and dry, root system is severely reduced, and starch stock of the plant is depleted."
What is the difference between quick and slow decline caused by CTV?,"Quick decline is characterized by the death of the tree within a few days, while slow decline takes longer."
Which trees are more prone to quick decline caused by CTV?,Young trees.
What is stem pitting caused by CTV?,Depressions in the wood of plants on the outer face of the bark.
What is seedling yellows caused by CTV?,Severe stunting and yellowing of seedlings.
How is CTV traditionally diagnosed?,By graft-inoculating Mexican lime with tissue from the suspected plant and watching for the appearance of symptoms.
"What is the concept of CTV, according to Wallace?",A complex made up of several distinct diseases.
What is the name of the authors who first described the symptoms of CTV in Australia?,Wallace.
What is the name of the virus strain that induces severe stunting and yellowing in seedlings?,A certain strain of CTV.
What is the term for the reduction of the fruit size caused by CTV?,Stunting of the trees.
What is the name of the authors who studied the transmission of CTV by aphids?,Bar-Joseph et al.
What is the name of the authors who studied the symptoms of CTV in citrus trees?,Rocha-Pena et al.
What is the name of the authors who studied the decline of citrus trees caused by CTV?,Spiegel-Roy and Goldschmidt.
What is a common symptom of Citrus Tristeza Virus (CTV)?,Leaf chlorosis.
What are the necessary measures to control CTV?,"Strict quarantine, chemical and biological inactivation of aphids, and immunization of trees."
What is a promising approach to control CTV?,Immunization of trees by inoculation with a mild type of the virus.
What is an effective way to exclude Tristeza from citrus orchards?,Development of resistant rootstock-scion combinations.
What is Mal secco?,A destructive vascular disease caused by the fungus Phoma traceiphila Petri.
Which citrus trees are particularly affected by Mal secco?,Lemon and sour orange trees.
Which countries have been affected by Mal secco?,"Countries in the Eastern Mediterranean region, around the Black Sea, and Asia minor."
How does Mal secco spread?,"Mainly through fungal spores in winter via rain, overhead irrigation sprinklers, and winds."
What is the first symptom of Mal secco?,Sudden wilting and drying of leaves.
How can Mal secco be detected?,Visually by examining leaves for chlorosis around the veins or by the pink-brown discoloration of the phloem under the bark.
What is the causal agent of Mal secco?,A glycoprotein toxin named malseccin excreted by the fungus.
How can Mal secco be controlled?,"By replacing infected trees with less susceptible varieties, pruning infected branches, and burning pruned material, and using copper-based fungicides."
What is Stubborn disease caused by?,"Spiroplasma citri, a bacterium without a cell wall."
What is the first symptom of Stubborn disease?,Not mentioned in the text.
Can Stubborn disease be controlled?,Not mentioned in the text.
What is the name of the disease caused by the bacterium Spiroplasma citri?,Citrus stubborn disease (CSD).
What is the recommended method for pruning infected branches and twigs to control Mal secco?,Burning the pruned material.
What is a common method of chemical control for Mal secco in nurseries?,Repeated sprays of copper-based fungicides.
What is the effect of infection by Mal secco on the seeds of the affected tree?,Discoloration and necrosis of the fruit at the stem end.
What is the ultimate outcome of Mal secco infection if left untreated?,Death of the whole tree within 1-2 years after infection.
Can Mal secco be contained?,"Yes, by replacing infected trees with less susceptible varieties, pruning infected branches, and burning pruned material."
What is the recommended method for controlling Mal secco in nurseries?,Chemical control by repeated sprays of copper-based fungicides.
What are the most sensitive citrus varieties to citrus sudden death disease?,"Oranges, grapefruit, and mandarins are the most sensitive varieties."
What is the primary habitat of the citrus sudden death pathogen?,The pathogen dwells principally in the phloem of the host.
How is citrus sudden death transmitted?,It is transmitted by various kinds of leafhoppers and by grafting.
What are some hosts of the vector insects that spread citrus sudden death?,"Weeds, ornamental flowers, and certain herbaceous vegetables serve as hosts."
What is the effect of citrus sudden death on infected trees?,"Infected trees do not die but are severely stunted and produce small leaves and small, lopsided fruits with unacceptable sensory quality."
